row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,match,image_id,image_locality,image_title,image_dates,image_series,date_agrees,annotazioni
723,364,Italia,Castelvetere sul Calore,Santa Maria delle Grazie,28-9-1899,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 28 settembre 1899. Nessun riferimento in internet.
724,461,Italia,Alatri,Santa Maria della Libera,4-11-1899,#,no,#,,,,,,,,"ERR - Frate Anselmo: data l'incoronazione 4 novembre 1899, ma è la data del decreto. Sarà incoronata nel 1901."
725,560,Italia,Rezzato,Santa Maria di Valverde,23-11-1899,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 11 settembre 1898.
726,232,Messico,Patzcuaro,Nostra Signora della Salute,8-12-1899,Capitolo,sì,1,place+title+year,nuestra-senora-de-la-salud-patzcuaro,Pátzcuaro,Nuestra Señora de la Salud,1899,AAS,yes,ERR - Frate Anselmo: non la cita.
727,330,Francia,La Trinité,Nostra Signora del Laghetto,19-4-1900,#,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 11 settembre 1898. ERR - Frate Anselmo: la colloca a Nizza.
728,452,Italia,Ravenna,Santa Maria Greca,21-4-1900,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 2 aprile 1900.
729,281,Francia,Rostrenen,Nostra Signora di Rostrenen,2-7-1900,Capitolo,sì,1,,,,,,,,"Frate Anselmo: data l'incoronazione 24 febbraio 1887. In base alla nota riporta nel campo ""Note"" è probabile che la data riportata da frate Anselmo sia quella del decreto."
730,237,Argentina,Itatí,Nostra Signora di Itatí,16-7-1900,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
731,537,Italia,"Serra Riccò, frazione di San Cipriano","Santa Maria ""Causa Nostrae Laetitiae""",26-7-1900,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 26 luglio 1900 e la colloca a San Cipriano. Nessun riferimento in internet.
732,602,Italia,"Villanova Mondovì, frazione di Madonna del Pasco",Santa Maria del Pasco,15-8-1900,Capitolo,sì,1,place+title+year,madonna-del-pasco-villanova-mondovi,Villanova Mondovì,Madonna del Pasco,1900-08-15,LIT,yes,ERR - Frate Anselmo: data l'incoronazione 18 febbraio 1900.
733,429,Italia,Sarno,Santa Maria delle Tre Corone,15-8-1900,Capitolo,sì,1,,,,,,,,
734,538,Italia,Sori,Santa Maria delle Grazie,15-8-1900,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 15 agosto 1900. Nessun riferimento in internet.
735,463,Italia,Ausonia,Santa Maria del Piano,22-8-1900,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 22 agosto 1900. Nessun riferimento in internet.
736,702,Italia,Vicenza,Santa Maria di Monte Berico,25-8-1900,Capitolo,sì,1,,,,,,,,
737,274,Francia,Lione,Nostra Signora di Fourvière,8-9-1900,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
738,729,Spagna,"Bilbao, distretto di Begoña",Nostra Signora de la Begoña,8-9-1900,Capitolo,sì,1,place+title+year,virgen-de-begona-bilbao,Bilbao,Virgen de Begoña,1900-09-08,LIT,yes,ERR - Frate Anselmo: scambia la data del decreto con quella dell'incoronazione.
739,724,Spagna,Barcellona,Nostra Signora de la Bonanova,8-9-1900,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con quella dell'incoronazione.
