row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,taken,why_not,image_id,image_locality,image_title,image_dates,other_sources,date_agrees,rome_alignment,annotazioni
27,6,Città del Vaticano,Città del Vaticano,Madonna della Colonna,11-10-1645,Capitolo,sì,1,yes,,santa-maria-della-colonna-nella-basilica-vatican,"Rome, Vatican Basilica (Madonna della Colonna)",Santa Maria della Colonna nella Basilica Vaticana,1645-01-01,Bombelli; Briccolani; Zander/Magister,yes,PICK,
28,145,Italia,Roma,Santa Maria in Santa Marta,20-11-1645,Capitolo,sì,1,yes,,santa-maria-dentro-il-monastero-di-s-marta-al-co,"Rome, Santa Marta al Collegio Romano",Santa Maria dentro il Monastero di S. Marta al Collegio Romano,1645-11-20,Bombelli; Briccolani,yes,PICK,Bombelli: corona al Bambino 1 settembre 1646. Briccolani: corona al Bambino 1646.
29,102,Italia,Roma,Madonna dei Miracoli,11-1-1646,Capitolo,sì,1,yes,,santa-maria-de-miracoli-sulla-piazza-del-popolo,"Rome, Santa Maria dei Miracoli",Santa Maria de' Miracoli sulla Piazza del Popolo,1646-01-11,Briccolani,±1,AUTO,ERR - Bombelli: data di incoronazione anno 1645 nella didascalia sotto l'immagine. Briccolani: corona al Bambino anno 1667.
30,127,Italia,Roma,Madonna del Pozzo,17-1-1646,Capitolo,sì,1,yes,,santa-maria-in-via-rome-santa-maria-in-via,"Rome, Santa Maria in Via",Santa Maria in Via,1646-01-17,Briccolani,yes,AUTO,ERR - Frate Anselmo: data l'incoronazione 2 gennaio 1646.
31,111,Italia,Roma,Madonna della Purità,16-4-1646,Capitolo,sì,1,yes,,santa-maria-della-purita-in-borgo-rome-santa-mar,"Rome, Santa Maria della Purità in Borgo",Santa Maria della Purità in Borgo,1646-04-16,Bombelli; Briccolani,yes,AUTO,Briccolani: corona al Bambino anno 1651. La data del decreto è posteriore a quella dell'incoronazione.
32,146,Italia,Roma,Santa Maria in Santa Marta,1-9-1646,Capitolo,sì,1,yes,,santa-maria-dentro-il-monastero-di-s-marta-al-co,"Rome, Santa Marta al Collegio Romano",Santa Maria dentro il Monastero di S. Marta al Collegio Romano,1645-11-20,Bombelli; Briccolani,yes,PICK,Bombelli: corona al Bambino 1 settembre 1646. Briccolani: corona al Bambino 1646.
33,114,Italia,Roma,Madonna della Scala,10-10-1646,Capitolo,sì,1,yes,,santa-maria-della-scala-in-trastevere-rome-santa,"Rome, Santa Maria della Scala (Trastevere)",Santa Maria della Scala in Trastevere,1646-10-10,Bombelli; Briccolani,yes,AUTO,Bombelli: corona alla Madonna e al Bambino.
34,77,Italia,Roma,Madonna di Loreto,#-#-1646,Capitolo,sì,1,yes,,santa-maria-di-loreto-in-s-salvator-in-lauro-rom,"Rome, San Salvatore in Lauro",Santa Maria di Loreto in S. Salvator in Lauro,1644-12-12; 1836-12-09,Bombelli; Briccolani,yes,PICK,
35,138,Italia,Roma,Santa Maria in Fonte,8-6-1647,Capitolo,sì,1,yes,,santa-maria-in-fonte-rome-san-giovanni-in-fonte,"Rome, San Giovanni in Fonte (Lateran baptistery)",Santa Maria in Fonte,1647-06-08,Bombelli; Briccolani,yes,PICK,Bombelli: corona alla Madonna e al Bambino.
36,109,Italia,Roma,Madonna delle Grazie,14-8-1647,Capitolo,sì,1,yes,,madonna-delle-grazie-rome-santa-maria-delle-graz,"Rome, Santa Maria delle Grazie al Foro Romano",Madonna delle Grazie,1647-08-14,,,PICK,Frate Anselmo: la colloca nell'Ospedale di Santa Maria della Consolazione.
